street_marker,RequestTime,tripDistance,aim_marker,lon,lat
A0,1.0,1340.0,A10000,-73.9700469970703,40.765239715576165
A1,1.0,900.0,A10001,-73.98588562011719,40.75176239013672
A2,1.0,2029.9999999999998,A10002,-73.98516845703125,40.72768020629882
A3,1.0,780.0,A10003,-73.9852523803711,40.73576354980469
A4,2.0,500.0,A10004,-73.9913330078125,40.72335433959961
A5,2.0,1530.0,A10005,-73.97725677490233,40.75478363037109
A6,2.0,700.0,A10006,-73.95439147949219,40.77812957763672
A7,2.0,1870.0,A10007,-74.00431060791014,40.742351531982415
A8,2.0,7570.0,A10008,-73.97725677490233,40.72620391845703
A9,2.0,1130.0,A10009,-73.992919921875,40.72387313842773
A10,2.0,2000.0,A10010,-73.97821807861328,40.76187133789063
A11,2.0,6200.0,A10011,-74.01412200927734,40.71215057373047
A12,2.0,3800.0,A10012,-73.98079681396483,40.74457931518555
A13,3.0,1600.0,A10013,-73.9862060546875,40.761917114257805
A14,3.0,3400.0,A10014,-74.01227569580078,40.713623046875
A15,3.0,470.0,A10015,-73.98954772949219,40.76791763305664
A16,3.0,960.0,A10016,-73.98915100097656,40.74543762207031
A17,4.0,6110.0,A10017,-73.98770904541014,40.74981689453125
A18,4.0,1910.0,A10018,-73.9557113647461,40.717769622802734
A19,4.0,1990.0,A10019,-73.98062896728516,40.727081298828125
A20,4.0,100.0,A10020,-73.95623016357422,40.77560043334961
A21,4.0,990.0,A10021,-73.96280670166014,40.77579116821289
A22,4.0,2200.0,A10022,-73.9959487915039,40.74436950683594
A23,4.0,1200.0,A10023,-73.98190307617188,40.76953125
A24,5.0,890.0,A10024,-73.98089599609375,40.75005722045898
A25,5.0,2009.9999999999998,A10025,-73.99651336669923,40.7153205871582
A26,5.0,950.0,A10026,-73.97549438476561,40.7618522644043
A27,5.0,2600.0,A10027,-73.9832992553711,40.7659568786621
A28,5.0,1500.0,A10028,-73.98928070068358,40.7210693359375
A29,5.0,3900.0,A10029,-73.95333862304686,40.78824234008789
A30,6.0,4710.0,A10030,-73.97887420654298,40.7776756286621
A31,6.0,1910.0,A10031,-73.94764709472656,40.78361892700195
A32,6.0,1100.0,A10032,-73.9598617553711,40.75781631469727
A33,6.0,1900.0,A10033,-73.97425079345702,40.75636672973633
A34,6.0,5850.0,A10034,-73.95352935791014,40.77536010742188
A35,7.0,3390.0,A10035,-73.98137664794923,40.76337814331056
A36,7.0,5400.0,A10036,-73.98263549804686,40.77711486816406
A37,7.0,1630.0,A10037,-73.95234680175781,40.78662872314453
A38,8.0,1900.0,A10038,-73.96907806396483,40.761043548583984
A39,8.0,1070.0,A10039,-73.98490142822266,40.74782180786133
A40,8.0,7100.0,A10040,-73.99351501464844,40.75209045410156
A41,8.0,1100.0,A10041,-74.00255584716798,40.73037338256836
A42,9.0,1500.0,A10042,-73.98693084716798,40.73336410522461
A43,9.0,1200.0,A10043,-73.98858642578125,40.73408889770508
A44,9.0,1900.0,A10044,-73.99453735351561,40.72774887084961
A45,9.0,1150.0,A10045,-73.99514007568358,40.72071075439453
A46,9.0,1800.0,A10046,-73.99083709716798,40.73321914672852
A47,9.0,4390.0,A10047,-73.97147369384764,40.79531478881836
A48,9.0,1480.0,A10048,-73.96733093261719,40.79301071166992
A49,10.0,1600.0,A10049,-73.96385955810547,40.77683639526367
A50,10.0,2780.0,A10050,-73.9912109375,40.74972534179688
A51,10.0,1340.0,A10051,-74.00066375732422,40.716941833496094
A52,10.0,2490.0,A10052,-73.96350860595702,40.75747299194336
A53,10.0,1490.0,A10053,-73.99629211425781,40.743118286132805
A54,11.0,1330.0,A10054,-73.98951721191406,40.74193954467773
A55,11.0,800.0,A10055,-73.98973083496092,40.72004318237305
A56,11.0,3090.0,A10056,-73.9881591796875,40.75661087036133
A57,11.0,1100.0,A10057,-73.99903106689453,40.73430633544922
A58,11.0,2590.0,A10058,-73.98297882080078,40.77792739868164
A59,11.0,5030.0,A10059,-73.99976348876953,40.72719955444336
A60,11.0,5400.0,A10060,-73.9552001953125,40.77928161621094
A61,12.0,3400.0,A10061,-73.9953384399414,40.74446868896485
A62,12.0,300.0,A10062,-73.97724151611328,40.74280548095703
A63,12.0,3950.0,A10063,-73.98038482666014,40.7823600769043
A64,12.0,1110.0,A10064,-73.98996734619139,40.735389709472656
A65,12.0,1500.0,A10065,-73.9742431640625,40.74317169189453
A66,12.0,650.0,A10066,-73.9729232788086,40.75622177124024
A67,13.0,1100.0,A10067,-73.97721099853516,40.75749588012695
A68,13.0,1400.0,A10068,-73.98390960693358,40.76555252075195
A69,13.0,3900.0,A10069,-73.98349761962889,40.72176361083984
A70,13.0,550.0,A10070,-73.96109008789062,40.76506423950195
A71,13.0,800.0,A10071,-73.97676849365233,40.745464324951165
A72,13.0,1900.0,A10072,-73.98722076416014,40.72259140014648
A73,13.0,18400.0,A10073,-73.7884750366211,40.64155960083008
A74,14.0,4100.0,A10074,-73.98390197753906,40.74314498901367
